Num Rectangles,Rectangle Number,x1,y1,x2,y2
701,1,3805,4485,9309,6521
701,2,1724,7755,6893,9751
701,3,6025,2307,9191,4023
701,4,269,78,6850,1789
701,5,347,2897,3271,7573
701,6,5459,6772,6307,7286
701,7,7825,7009,8863,9323
701,8,3712,2809,4060,2960
701,9,9613,5221,9683,6879
701,10,808,8908,1409,9028
701,11,7124,9198,7362,9509
701,12,1161,1955,4526,2722
701,13,5589,6564,8350,6716
701,14,7808,1538,9408,2095
701,15,3659,6659,4051,6935
701,16,789,7970,1129,8224
701,17,9145,8198,9617,8214
701,18,7190,4219,8100,4246
701,19,5345,2085,5722,2259
701,20,9293,2321,9973,2353
701,21,7291,386,9435,612
701,22,5175,6954,5264,7075
701,23,7603,7510,7823,9264
701,24,5220,3681,6007,4016
701,25,204,574,237,2666
701,26,7419,151,8615,229
701,27,7485,7718,7497,9680
701,28,4081,4020,4719,4145
701,29,4425,7426,4970,7502
701,30,739,9687,1422,9814
701,31,6973,7178,7016,7565
701,32,9477,5957,9610,8027
701,33,9396,5423,9462,7410
701,34,96,1836,106,9083
701,35,144,3462,228,7499
701,36,4984,1839,5289,2112
701,37,4911,4043,6510,4161
701,38,6901,44,9351,134
701,39,412,9400,815,9480
701,40,386,8595,408,9219
701,41,552,7866,762,8928
701,42,9050,8288,9290,8939
701,43,3690,7578,5523,7617
701,44,971,7745,1197,7768
701,45,4218,9859,5527,9902
701,46,9722,5054,9876,6129
701,47,8071,979,9456,1149
701,48,7692,1308,8343,1484
701,49,9845,7082,9935,9710
701,50,3278,5174,3785,5927
701,51,1511,8150,1637,9887
701,52,3445,3269,4331,3823
701,53,9540,3490,9577,4474
701,54,3510,3033,4347,3093
701,55,4535,3190,5016,3302
701,56,7150,6787,7306,8852
701,57,7522,631,7994,770
701,58,7069,8372,7116,8977
701,59,7295,9687,9453,9799
701,60,4542,6832,5075,7138
701,61,5976,7563,6801,7680
701,62,14,5633,35,8687
701,63,6204,4284,6356,4312
701,64,5093,4339,7501,4362
701,65,3855,4176,8085,4204
701,66,3349,6113,3408,6741
701,67,7458,7428,7571,7537
701,68,8697,689,9057,764
701,69,9797,915,9874,1970
701,70,801,8480,1100,8576
701,71,9620,1094,9680,2110
701,72,7,2767,24,4183
701,73,600,1878,2973,1904
